Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
277 MLA ||r(i)||/||b|| 2.7560771747398216e-03
278 MLA ||r(i)||/||b|| 2.7373312494418083e-03
279 MLA ||r(i)||/||b|| 2.7187709483426142e-03
280 MLA ||r(i)||/||b|| 2.7003932015411212e-03
281 MLA ||r(i)||/||b|| 2.6821949739144293e-03
282 MLA ||r(i)||/||b|| 2.6641733380263189e-03
283 MLA ||r(i)||/||b|| 2.6463253354803767e-03
284 MLA ||r(i)||/||b|| 2.6286481132956918e-03
285 MLA ||r(i)||/||b|| 2.6111388588905310e-03
286 MLA ||r(i)||/||b|| 2.5937947647963686e-03
287 MLA ||r(i)||/||b|| 2.5766131396313926e-03
288 MLA ||r(i)||/||b|| 2.5595912743224237e-03
289 MLA ||r(i)||/||b|| 2.5427265474006026e-03
290 MLA ||r(i)||/||b|| 2.5260163696913520e-03
291 MLA ||r(i)||/||b|| 2.5094582165905350e-03
292 MLA ||r(i)||/||b|| 2.4930495494667041e-03
293 MLA ||r(i)||/||b|| 2.4767879424292083e-03
294 MLA ||r(i)||/||b|| 2.4606709765054736e-03
295 MLA ||r(i)||/||b|| 2.4446962914705258e-03
296 MLA ||r(i)||/||b|| 2.4288615655315951e-03
297 MLA ||r(i)||/||b|| 2.4131644973298624e-03
298 MLA ||r(i)||/||b|| 2.3976028425723465e-03
299 MLA ||r(i)||/||b|| 2.3821744886571312e-03
300 MLA ||r(i)||/||b|| 2.3668772167958034e-03
301 MLA ||r(i)||/||b|| 2.3517088951197575e-03
302 MLA ||r(i)||/||b|| 2.3366675031446919e-03
303 MLA ||r(i)||/||b|| 2.3217509670728446e-03
304 MLA ||r(i)||/||b|| 2.3069573417889735e-03
305 MLA ||r(i)||/||b|| 2.2922846700282060e-03
306 MLA ||r(i)||/||b|| 2.2777310003123871e-03
307 MLA ||r(i)||/||b|| 2.2632944869691168e-03
308 MLA ||r(i)||/||b|| 2.2489732671133592e-03
309 MLA ||r(i)||/||b|| 2.2347655852769494e-03
310 MLA ||r(i)||/||b|| 2.2206696354531677e-03
311 MLA ||r(i)||/||b|| 2.2066837205934097e-03
312 MLA ||r(i)||/||b|| 2.1928061538714154e-03
313 MLA ||r(i)||/||b|| 2.1790352426241505e-03
314 MLA ||r(i)||/||b|| 2.1653694171913920e-03
315 MLA ||r(i)||/||b|| 2.1518070667199420e-03
316 MLA ||r(i)||/||b|| 2.1383466234222255e-03
317 MLA ||r(i)||/||b|| 2.1249865866374653e-03
318 MLA ||r(i)||/||b|| 2.1117254721796149e-03
319 MLA ||r(i)||/||b|| 2.0985618343993214e-03
320 MLA ||r(i)||/||b|| 2.0854942432469627e-03
321 MLA ||r(i)||/||b|| 2.0725213005886216e-03
322 MLA ||r(i)||/||b|| 2.0596416383779339e-03
323 MLA ||r(i)||/||b|| 2.0468539668750440e-03
324 MLA ||r(i)||/||b|| 2.0341569419140876e-03
325 MLA ||r(i)||/||b|| 2.0215493285063143e-03
326 MLA ||r(i)||/||b|| 2.0090298617071243e-03
327 MLA ||r(i)||/||b|| 1.9965973312177795e-03
328 MLA ||r(i)||/||b|| 1.9842505738980440e-03
329 MLA ||r(i)||/||b|| 1.9719883815957208e-03
330 MLA ||r(i)||/||b|| 1.9598096737171479e-03
331 MLA ||r(i)||/||b|| 1.9477133146584447e-03
332 MLA ||r(i)||/||b|| 1.9356982327346857e-03
333 MLA ||r(i)||/||b|| 1.9237634117750561e-03
334 MLA ||r(i)||/||b|| 1.9119077315814831e-03
335 MLA ||r(i)||/||b|| 1.9001302941363863e-03
336 MLA ||r(i)||/||b|| 1.8884300103311003e-03
337 MLA ||r(i)||/||b|| 1.8768059752338794e-03
338 MLA ||r(i)||/||b|| 1.8652572946263302e-03
339 MLA ||r(i)||/||b|| 1.8537829806688933e-03
340 MLA ||r(i)||/||b|| 1.8423822076830490e-03
341 MLA ||r(i)||/||b|| 1.8310540634110361e-03
342 MLA ||r(i)||/||b|| 1.8197976870673658e-03
343 MLA ||r(i)||/||b|| 1.8086122779239005e-03
344 MLA ||r(i)||/||b|| 1.7974970285589019e-03
345 MLA ||r(i)||/||b|| 1.7864511720291454e-03
346 MLA ||r(i)||/||b|| 1.7754738827580737e-03
347 MLA ||r(i)||/||b|| 1.7645644359291352e-03
348 MLA ||r(i)||/||b|| 1.7537221283195317e-03
349 MLA ||r(i)||/||b|| 1.7429461888135520e-03
350 MLA ||r(i)||/||b|| 1.7322360190439626e-03
351 MLA ||r(i)||/||b|| 1.7215908245493629e-03
352 MLA ||r(i)||/||b|| 1.7110100146892661e-03
353 MLA ||r(i)||/||b|| 1.7004929285069927e-03
354 MLA ||r(i)||/||b|| 1.6900389408667478e-03
355 MLA ||r(i)||/||b|| 1.6796474632373196e-03
356 MLA ||r(i)||/||b|| 1.6693178363171412e-03
357 MLA ||r(i)||/||b|| 1.6590495122864178e-03
358 MLA ||r(i)||/||b|| 1.6488419450816055e-03
359 MLA ||r(i)||/||b|| 1.6386945342199896e-03
360 MLA ||r(i)||/||b|| 1.6286067562167777e-03
361 MLA ||r(i)||/||b|| 1.6185781185246127e-03
362 MLA ||r(i)||/||b|| 1.6086080460127694e-03
363 MLA ||r(i)||/||b|| 1.5986961111899951e-03
364 MLA ||r(i)||/||b|| 1.5888417803196586e-03
365 MLA ||r(i)||/||b|| 1.5790445696345281e-03
366 MLA ||r(i)||/||b|| 1.5693040485293722e-03
367 MLA ||r(i)||/||b|| 1.5596197719907586e-03
368 MLA ||r(i)||/||b|| 1.5499912477565541e-03
369 MLA ||r(i)||/||b|| 1.5404181105949154e-03
370 MLA ||r(i)||/||b|| 1.5308998444559865e-03
371 MLA ||r(i)||/||b|| 1.5214361657817240e-03
372 MLA ||r(i)||/||b|| 1.5120265982930473e-03
373 MLA ||r(i)||/||b|| 1.5026707972355348e-03
374 MLA ||r(i)||/||b|| 1.4933683375575090e-03
375 MLA ||r(i)||/||b|| 1.4841188850261695e-03
376 MLA ||r(i)||/||b|| 1.4749220653736132e-03
377 MLA ||r(i)||/||b|| 1.4657775390649543e-03
378 MLA ||r(i)||/||b|| 1.4566849458940200e-03
379 MLA ||r(i)||/||b|| 1.4476439846298325e-03
380 MLA ||r(i)||/||b|| 1.4386542663522080e-03
381 MLA ||r(i)||/||b|| 1.4297155576172727e-03
382 MLA ||r(i)||/||b|| 1.4208274839616624e-03
383 MLA ||r(i)||/||b|| 1.4119897821652445e-03
384 MLA ||r(i)||/||b|| 1.4032021219182993e-03
385 MLA ||r(i)||/||b|| 1.3944642419585723e-03
386 MLA ||r(i)||/||b|| 1.3857758688564500e-03
387 MLA ||r(i)||/||b|| 1.3771366817100473e-03
388 MLA ||r(i)||/||b|| 1.3685464818014731e-03
389 MLA ||r(i)||/||b|| 1.3600049446846497e-03
390 MLA ||r(i)||/||b|| 1.3515118374328916e-03
391 MLA ||r(i)||/||b|| 1.3430669235253581e-03
