Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
290 MLA ||r(i)||/||b|| 5.6966328402198408e-03
291 MLA ||r(i)||/||b|| 5.6519433858559058e-03
292 MLA ||r(i)||/||b|| 5.6078811085938009e-03
293 MLA ||r(i)||/||b|| 5.5644358230862454e-03
294 MLA ||r(i)||/||b|| 5.5215974009794576e-03
295 MLA ||r(i)||/||b|| 5.4793559585410009e-03
296 MLA ||r(i)||/||b|| 5.4377016264407418e-03
297 MLA ||r(i)||/||b|| 5.3966248043376269e-03
298 MLA ||r(i)||/||b|| 5.3561159283010175e-03
299 MLA ||r(i)||/||b|| 5.3161656520100287e-03
300 MLA ||r(i)||/||b|| 5.2767648321244646e-03
301 MLA ||r(i)||/||b|| 5.2379043379028401e-03
302 MLA ||r(i)||/||b|| 5.1995751412642144e-03
303 MLA ||r(i)||/||b|| 5.1617685140384062e-03
304 MLA ||r(i)||/||b|| 5.1244757916830991e-03
305 MLA ||r(i)||/||b|| 5.0876883561940421e-03
306 MLA ||r(i)||/||b|| 5.0513979267511871e-03
307 MLA ||r(i)||/||b|| 5.0155961668749433e-03
308 MLA ||r(i)||/||b|| 4.9802749200948395e-03
309 MLA ||r(i)||/||b|| 4.9454262730842845e-03
310 MLA ||r(i)||/||b|| 4.9110423380072654e-03
311 MLA ||r(i)||/||b|| 4.8771152621276551e-03
312 MLA ||r(i)||/||b|| 4.8436376884183358e-03
313 MLA ||r(i)||/||b|| 4.8106019249354384e-03
314 MLA ||r(i)||/||b|| 4.7780006014656057e-03
315 MLA ||r(i)||/||b|| 4.7458265851717269e-03
316 MLA ||r(i)||/||b|| 4.7140726973075057e-03
317 MLA ||r(i)||/||b|| 4.6827320660662065e-03
318 MLA ||r(i)||/||b|| 4.6517977346548509e-03
319 MLA ||r(i)||/||b|| 4.6212630147551351e-03
320 MLA ||r(i)||/||b|| 4.5911213026293444e-03
321 MLA ||r(i)||/||b|| 4.5613660317753027e-03
322 MLA ||r(i)||/||b|| 4.5319907411119241e-03
323 MLA ||r(i)||/||b|| 4.5029893257293487e-03
324 MLA ||r(i)||/||b|| 4.4743555163582914e-03
325 MLA ||r(i)||/||b|| 4.4460833230690671e-03
326 MLA ||r(i)||/||b|| 4.4181667414524483e-03
327 MLA ||r(i)||/||b|| 4.3906000080361834e-03
328 MLA ||r(i)||/||b|| 4.3633772283604780e-03
329 MLA ||r(i)||/||b|| 4.3364929919824024e-03
330 MLA ||r(i)||/||b|| 4.3099418071435042e-03
331 MLA ||r(i)||/||b|| 4.2837181461569370e-03
332 MLA ||r(i)||/||b|| 4.2578167720678474e-03
333 MLA ||r(i)||/||b|| 4.2322323857660517e-03
334 MLA ||r(i)||/||b|| 4.2069599940163316e-03
335 MLA ||r(i)||/||b|| 4.1819945061787487e-03
336 MLA ||r(i)||/||b|| 4.1573310636644776e-03
337 MLA ||r(i)||/||b|| 4.1329647557933691e-03
338 MLA ||r(i)||/||b|| 4.1088908598046151e-03
339 MLA ||r(i)||/||b|| 4.0851048791160100e-03
340 MLA ||r(i)||/||b|| 4.0616021798882077e-03
341 MLA ||r(i)||/||b|| 4.0383782586222291e-03
342 MLA ||r(i)||/||b|| 4.0154287939496748e-03
343 MLA ||r(i)||/||b|| 3.9927494836594392e-03
344 MLA ||r(i)||/||b|| 3.9703360746121468e-03
345 MLA ||r(i)||/||b|| 3.9481845397184526e-03
346 MLA ||r(i)||/||b|| 3.9262907460867460e-03
347 MLA ||r(i)||/||b|| 3.9046506944684974e-03
348 MLA ||r(i)||/||b|| 3.8832605614792007e-03
349 MLA ||r(i)||/||b|| 3.8621165547455950e-03
350 MLA ||r(i)||/||b|| 3.8412148534381079e-03
351 MLA ||r(i)||/||b|| 3.8205518390224667e-03
352 MLA ||r(i)||/||b|| 3.8001239625739085e-03
353 MLA ||r(i)||/||b|| 3.7799275109279742e-03
354 MLA ||r(i)||/||b|| 3.7599591779822628e-03
