Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.838865 (s)
359 MLA ||r(i)||/||b|| 5.9991090684002781e-04
360 MLA ||r(i)||/||b|| 5.8434666302838059e-04
361 MLA ||r(i)||/||b|| 5.6918630176509290e-04
362 MLA ||r(i)||/||b|| 5.5441938494038383e-04
363 MLA ||r(i)||/||b|| 5.4003575189274025e-04
364 MLA ||r(i)||/||b|| 5.2602538671580592e-04
365 MLA ||r(i)||/||b|| 5.1237847177932900e-04
366 MLA ||r(i)||/||b|| 4.9908581767225805e-04
367 MLA ||r(i)||/||b|| 4.8613827064336037e-04
368 MLA ||r(i)||/||b|| 4.7352668776211440e-04
369 MLA ||r(i)||/||b|| 4.6124245005752949e-04
370 MLA ||r(i)||/||b|| 4.4927712104590376e-04
371 MLA ||r(i)||/||b|| 4.3762225752055092e-04
372 MLA ||r(i)||/||b|| 4.2626997863632460e-04
373 MLA ||r(i)||/||b|| 4.1521233173002001e-04
374 MLA ||r(i)||/||b|| 4.0444173168067559e-04
375 MLA ||r(i)||/||b|| 3.9395067915508797e-04
376 MLA ||r(i)||/||b|| 3.8373193181299591e-04
377 MLA ||r(i)||/||b|| 3.7377849931466878e-04
378 MLA ||r(i)||/||b|| 3.6408341121897794e-04
379 MLA ||r(i)||/||b|| 3.5464001370815482e-04
380 MLA ||r(i)||/||b|| 3.4544174240266890e-04
381 MLA ||r(i)||/||b|| 3.3648232057473747e-04
382 MLA ||r(i)||/||b|| 3.2775530476679925e-04
383 MLA ||r(i)||/||b|| 3.1925497700720088e-04
384 MLA ||r(i)||/||b|| 3.1097532540623756e-04
385 MLA ||r(i)||/||b|| 3.0291051407177770e-04
386 MLA ||r(i)||/||b|| 2.9505508572454168e-04
387 MLA ||r(i)||/||b|| 2.8740360302027037e-04
388 MLA ||r(i)||/||b|| 2.7995076569638764e-04
389 MLA ||r(i)||/||b|| 2.7269135302973217e-04
390 MLA ||r(i)||/||b|| 2.6562043900736854e-04
391 MLA ||r(i)||/||b|| 2.5873308024817831e-04
392 MLA ||r(i)||/||b|| 2.5202448508888860e-04
393 MLA ||r(i)||/||b|| 2.4549008004435494e-04
394 MLA ||r(i)||/||b|| 2.3912522693830934e-04
395 MLA ||r(i)||/||b|| 2.3292566767609991e-04
396 MLA ||r(i)||/||b|| 2.2688702007807611e-04
397 MLA ||r(i)||/||b|| 2.2100514839806302e-04
398 MLA ||r(i)||/||b|| 2.1527590387613641e-04
399 MLA ||r(i)||/||b|| 2.0969545409475274e-04
400 MLA ||r(i)||/||b|| 2.0425979363198225e-04
401 MLA ||r(i)||/||b|| 1.9896531903937123e-04
402 MLA ||r(i)||/||b|| 1.9380820320137528e-04
403 MLA ||r(i)||/||b|| 1.8878499616026447e-04
404 MLA ||r(i)||/||b|| 1.8389213085519683e-04
405 MLA ||r(i)||/||b|| 1.7912628762202748e-04
406 MLA ||r(i)||/||b|| 1.7448410322986029e-04
407 MLA ||r(i)||/||b|| 1.6996246403990902e-04
408 MLA ||r(i)||/||b|| 1.6555816643000010e-04
409 MLA ||r(i)||/||b|| 1.6126824310265170e-04
410 MLA ||r(i)||/||b|| 1.5708961716280335e-04
411 MLA ||r(i)||/||b|| 1.5301942832084448e-04
412 MLA ||r(i)||/||b|| 1.4905488844915512e-04
413 MLA ||r(i)||/||b|| 1.4519327724787787e-04
414 MLA ||r(i)||/||b|| 1.4143181198647688e-04
415 MLA ||r(i)||/||b|| 1.3776801242396290e-04
