Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105965 (s)
387 MLA ||r(i)||/||b|| 4.0721338903487923e-06
388 MLA ||r(i)||/||b|| 4.0721326548930358e-06
389 MLA ||r(i)||/||b|| 4.0721286522226254e-06
390 MLA ||r(i)||/||b|| 4.0721255964249815e-06
391 MLA ||r(i)||/||b|| 4.0721159294935754e-06
392 MLA ||r(i)||/||b|| 4.0721140512745282e-06
393 MLA ||r(i)||/||b|| 4.0721140523222326e-06
394 MLA ||r(i)||/||b|| 4.0721125046599928e-06
395 MLA ||r(i)||/||b|| 4.0721150899242954e-06
396 MLA ||r(i)||/||b|| 4.0721028494781154e-06
397 MLA ||r(i)||/||b|| 4.0721004880262763e-06
398 MLA ||r(i)||/||b|| 4.0720917905803307e-06
399 MLA ||r(i)||/||b|| 4.0720881963909721e-06
400 MLA ||r(i)||/||b|| 4.0720159040103908e-06
401 MLA ||r(i)||/||b|| 4.0720191229352318e-06
402 MLA ||r(i)||/||b|| 4.0720157677815915e-06
403 MLA ||r(i)||/||b|| 4.0720154319250708e-06
404 MLA ||r(i)||/||b|| 4.0719102981287107e-06
405 MLA ||r(i)||/||b|| 4.0718542283597776e-06
406 MLA ||r(i)||/||b|| 4.0718579437641173e-06
407 MLA ||r(i)||/||b|| 4.0718587125304655e-06
408 MLA ||r(i)||/||b|| 4.0718616371276000e-06
409 MLA ||r(i)||/||b|| 4.0718721885105197e-06
410 MLA ||r(i)||/||b|| 4.0718597310275799e-06
411 MLA ||r(i)||/||b|| 4.0718560373581531e-06
412 MLA ||r(i)||/||b|| 4.0711422143143897e-06
413 MLA ||r(i)||/||b|| 4.0711427845735701e-06
414 MLA ||r(i)||/||b|| 4.0714029380155633e-06
415 MLA ||r(i)||/||b|| 4.0713991981359712e-06
